Artist,Song,Genre
Jhene Aiko,P,hiphop
Drake,Elevate,hiphop
Kodak Black Featuring Lil Wayne,Codeine Dreaming,hiphop
Anuel AA & Bad Bunny,Hasta Que Dios Diga,reggae
Post Malone,Takin' Shots,hiphop
Luke Combs,One Number Away,country
NAV Featuring The Weeknd,Price On My Head,hiphop
Tory Lanez,Stupid Again,hiphop
Russell Dickerson,Yours,country
Little Mix,Shout Out To My Ex,pop
"Tyler, The Creator",Corso,hiphop
KIDS SEE GHOSTS,KIDS SEE GHOSTS,hiphop
Shawn Mendes X Zedd,Lost In Japan,pop
DJ Khaled Featuring Jay Z & Future,I Got The Keys,hiphop
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,reggae
Blake Shelton,She's Got A Way With Words,country
Galantis,No Money,pop
Flo Rida Featuring Jason Derulo,Hello Friday,pop
Becky G Featuring Bad Bunny,Mayores,reggae
CJ,Whoopty,hiphop
Taylor Swift,Epiphany,pop
YoungBoy Never Broke Again,Red Eye,hiphop
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,reggae
Ayo & Teo,Rolex,hiphop
5 Seconds Of Summer,Easier,pop
Iggy Azalea,Team,hiphop
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Bella y Sensual,reggae
Yo Gotti Featuring Nicki Minaj,Down In The DM,hiphop
"Tyler, The Creator",Who Dat Boy,hiphop
Drake,Omerta,hiphop
Dierks Bentley,Gone,country
Chase Rice,Whisper,country
Kelly Clarkson,Love So Soft,pop
Post Malone Featuring Future & Halsey,Die For Me,hiphop
Juice WRLD x Marshmello,Come & Go,hiphop
J Cole,,hiphop
Future,Tycoon,hiphop
Ed Sheeran,Supermarket Flowers,pop
P!nk,What About Us,pop
Sam Hunt,Drinkin' Too Much,country
Lady A,Champagne Night,country
Kehlani Featuring Jhene Aiko,Change Your Life,r&b
KIDS SEE GHOSTS,Fire,hiphop
Juice WRLD,Fast,hiphop
Ski Mask The Slump God,Foot Fungus,hiphop
Drake Featuring 21 Savage & Project Pat,Knife Talk,hiphop
"Cardi B, Bad Bunny & J Balvin",I Like It,hiphop
Chris Stapleton,Starting Over,country
Wale Featuring J. Cole,Cole,hiphop
Dae Dae,"Wat U Mean (Aye, Aye, Aye)",hiphop
Brett Young,In Case You Didn't Know,country
Cole Swindell,Flatliner,country
J. Cole,Cole,hiphop
Quavo Featuring Drake,Flip The Switch,hiphop
gnash Featuring Olivia O'Brien,I Hate U I Love U,pop
Nicki Minaj,Yikes,hiphop
Lil Tecca,Out Of Luck,hiphop
Arcangel x Sech,Sigues Con El,reggaeton
Billie Eilish,Everything I Wanted,pop
Bryson Tiller Featuring Drake,Outta Time,r&b
Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds,hiphop
Drake & Yebba,Yebba's Heartbreak,r&b
Scotty McCreery,This Is It,country
Maddie & Tae,Die From A Broken Heart,country
J. Cole,Cole,hiphop
SZA,Broken Clocks,r&b
Blake Shelton Featuring Trace Adkins,Hell Right,country
Why Don't We,Fallin',pop
Maroon 5,Memories,pop
Pop Smoke Featuring 21 Savage & 42 Dugg,Bout A Million,hiphop
Lil Skies Featuring Yung Pinch,I Know You,hiphop
Lil Nas X,Tales Of Dominica,pop
The Ronettes,Sleigh Ride,pop
Queen & David Bowie,Under Pressure,rock
NAV With Gunna,Young Wheezy,hiphop
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,hiphop
Rod Wave,OMDB,hiphop
J. Cole,Cole,hiphop
21 Savage,ASMR,hiphop
Dan + Shay,How Not To,country
Drake,Controlla,hiphop
Avicii,Wake Me Up!,pop
Linkin Park,In The End,rock
YoungBoy Never Broke Again,Dirty Iyanna,hiphop
YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am,hiphop
Little Big Town,"Wine, Beer, Whiskey",country
Gunna Featuring Playboi Carti,Same Yung N,hiphop
Alessia Cara,Wild Things,pop
"Tyler, The Creator",Puppet,hiphop
Nicky Jam,With You Tonight,reggaeton
Normani Featuring Cardi B,Wild Side,hiphop
Jameson Rodgers,Some Girls,country
Drake,Sandra's Rose,hiphop
XXXTENTACION,I Don't Let Go,hiphop
Shawn Mendes,Wonder,pop
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,hiphop
The Weeknd,Hardest To Love,pop
Alice Merton,No Roots,pop
Morgan Wallen,Warning,country
Travis Scott,Astrothunder,hiphop
JAY-Z,The Story Of O,hiphop
NAV Featuring Meek Mill,Tap,hiphop
Kendrick Lamar,Element,hiphop
Lil Baby,Close Friends,hiphop
Jason Aldean & Carrie Underwood,If I Didn't Love You,country
Adam Wakefield,Lonesome Broken And Blue,country
Devin Dawson,All On Me,country
Lil Baby & Gunna Featuring Drake,Never Recover,hiphop
Drake,Nothings Into Somethings,hiphop
"Tyler, The Creator",Lumberjack,hiphop
Dan + Shay,Speechless,country
Lil Uzi Vert Featuring Pharrell Williams,Neon Guts,hiphop
Kid Cudi,Tequila Shots,hiphop
Young Thug With J,Cole & T-Shyne,hiphop
Luke Bryan,One Margarita,country
Granger Smith,If The Boot Fits,country
Luke Bryan,Most People Are Good,country
Gunna,Nasty Girl,hiphop
Eli Young Band,Love Ain't,country
JAY-Z Featuring Beyonce,Family Feud,hiphop
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,hiphop
Big Sean,Halfway Off The Balcony,hiphop
Rod Wave,Street Runner,hiphop
Ellie Goulding,On My Mind,pop
DaBaby,PROLLY HEARD,hiphop
Sam Smith Featuring Logic,Pray,pop
DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,hiphop
Billie Eilish,I Didn't Change My Number,pop
Logic,44 More,hiphop
Kehlani,CRZY,r&b
Kehlani,Distraction,r&b
Mac Miller,Good News,hiphop
Luke Combs,When It Rains It Pours,country
Kendrick Lamar,DNA,hiphop
Shakira Featuring Maluma,Chantaje,pop
Billie Eilish,You Should See Me In A Crown,pop
Lil Wayne,Mahogany,hiphop
Harry Styles,Watermelon Sugar,pop
Maren Morris,I Could Use A Love Song,country
YoungBoy Never Broke Again,Knocked Off,hiphop
Maroon 5 Featuring SZA,What Lovers Do,pop
Ariana Grande,R,pop
G-Eazy Featuring Chris Brown & Mark Morrison,Provide,hiphop
21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats,hiphop
Kehlani Featuring Tory Lanez,Can I,r&b
Prince And The Revolution,I Would Die 4 U,pop
Lil Baby & Gunna,Drip Too Hard,hiphop
Travis Scott,R,hiphop
Myke Towers & Juhn,Bandido,reggaeton
Kenny Chesney Featuring P!nk,Setting The World On Fire,country
The Revivalists,Wish I Knew You,rock
Pop Smoke Featuring Quavo,Aim For The Moon,hiphop
Carrie Underwood,Smoke Break,country
P!nk,Just Like Fire,pop
Offset Featuring Travis Scott & 21 Savage,Legacy,hiphop
Lil Uzi Vert,You Better Move,hiphop
Mustard & Migos,Pure Water,hiphop
"Tyler, The Creator",EARFQUAKE,hiphop
Avicii,Heaven,edm
"China Anne McClain, Thomas Doherty & Dylan Playfair",What's My Name,pop
Meek Mill,On My Soul,hiphop
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,reggaeton
Kanye West,Jesus Lord,hiphop
VEDO,You Got It,r&b
A$AP Ferg Featuring Nicki Minaj & MadeinTYO,Move Ya Hips,hiphop
Thomas Rhett,Country Again,country
Ariana Grande,Obvious,pop
Chase Rice,Lonely If You Are,country
Brett Young,Sleep Without You,country
Lil Wayne,Perfect Strangers,hiphop
The Kid LAROI Featuring Machine Gun Kelly,F,hiphop
Big Sean Featuring Eminem,No Favors,hiphop
Rod Wave,Sneaky Links,hiphop
Eminem Featuring Joyner Lucas,Lucky You,hiphop
Billie Eilish,Ocean Eyes,pop
Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,hiphop
Jordan Smith,Mary Did You Know,pop
The Weeknd,Acquainted,r&b
Bobby Helms,Jingle Bell Rock,country
Drake,TSU,hiphop
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),pop
6ix9ine Featuring Tory Lanez & Young Thug,RONDO,hiphop
Lisa,Lalisa,pop
Zac Efron & Zendaya,Rewrite The Stars,pop
Kanye West,No Mistakes,hiphop
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,pop
TakeOff,Casper,hiphop
Carrie Underwood Featuring Ludacris,The Champion,country
Ellie Goulding & Juice WRLD,Hate Me,pop
Selena Gomez With Rauw Alejandro,Baila Conmigo,pop
YoungBoy Never Broke Again,Time I'm On,hiphop
Justin Moore,The Ones That Didn't Make It Back Home,country
Post Malone,Jonestown (Interlude),hiphop
Brett Young,Like I Loved You,country
Kelly Clarkson & Brett Eldredge,Under The Mistletoe,pop
Lil Baby Featuring EST Gee,Real As It Gets,hiphop
Lil Uzi Vert,Chrome Heart Tags,hiphop
Swae Lee Featuring Slim Jxmmi,Guatemala,hiphop
Solange Featuring Sampha,Don't Touch My Hair,r&b
Playboi Carti,@ MEH,hiphop
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting,pop
Lee Brice,Rumor,country
Summer Walker & Usher,Come Thru,r&b
The Weeknd,Faith,r&b
Sheck Wes,Mo Bamba,hiphop
Post Malone,White Iverson,hiphop
Flo Rida & 99 Percent,Cake,hiphop
Juice WRLD,Conversations,hiphop
Bryce Vine Featuring YG,La La Land,hiphop
Lady Gaga,The Cure,pop
Sam Smith,To Die For,pop
Brett Eldredge,Love Someone,country
Lewis Capaldi,Someone You Loved,pop
Tim McGraw,I Called Mama,country
Ed Sheeran,New Man,pop
Taylor Swift,London Boy,pop
The Weeknd,Alone Again,r&b
"Tyler, The Creator",Igor's Theme,hiphop
Olivia Rodrigo,Hope Ur OK,pop
Meek Mill,Almost Slipped,hiphop
Wiz Khalifa Featuring Lil Skies,Fr Fr,hiphop
A Boogie Wit da Hoodie,Cinderella Story,hiphop
Lil Durk,Redman,hiphop
Lil Uzi Vert,Money Longer,hiphop
Lil Baby & Lil Durk,That's Facts,hiphop
Panic! At The Disco,High Hopes,pop
Taylor Swift,Mad Woman,pop
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,country
Lil Uzi Vert,For Real,hiphop
Bing Crosby,White Christmas,pop
Lil Durk,Viral Moment,hiphop
Parker McCollum,Pretty Heart,country
Lil Uzi Vert & 21 Savage,Yessirskiii,hiphop
Future,31 Days,hiphop
Moneybagg Yo Featuring BIG30,Go!,hiphop
Big Sean,Bounce Back,hiphop
Kacey Musgraves,Rainbow,country
Zac Brown Band,Beautiful Drug,country
Jackson 5,Santa Claus Is Comin' To Town,pop
Summer Walker,Playing Games,r&b
Lil Tecca,Love Me,hiphop
Polo G,Beautiful Pain (Losin My Mind),hiphop
JAY-Z Featuring Frank Ocean,Caught Their Eyes,hiphop
Bad Bunny,Haciendo Que Me Amas,reggae
DaBaby,Red Light Green Light,hiphop
Future,Touch The Sky,hiphop
Megan Thee Stallion,B,hiphop
EST Gee,Lick Back,hiphop
BTS,Film Out,pop
JACKBOYS Featuring Don Toliver,WHAT TO DO,hiphop
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",Heatstroke,pop
Bad Bunny,El Mundo Es Mio,reggae
Cam,Burning House,country
Kanye West Featuring Sunday Service Choir,Every Hour,hiphop
YoungBoy Never Broke Again,Life Support,hiphop
Lil Baby & Gunna,Belly,hiphop
Taylor Swift,The Man,pop
Frenship & Emily Warren,Capsize,pop
Machine Gun Kelly & Halsey,Forget Me Too,pop
Summer Walker,Over It,hiphop
"Lil Tjay, Fivio Foreign & Kay Flock",Not In The Mood,hiphop
The Weeknd,Nothing Without You,pop
Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin,hiphop
DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,hiphop
Drake Featuring Rihanna,Too Good,hiphop
Lil Uzi Vert Featuring Lil Durk,No Auto,hiphop
Lil Baby & Lil Durk,Who I Want,hiphop
Drake,Finesse,hiphop
The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love,pop
Bad Bunny,La Droga,reggae
Lil Dicky,Earth,hiphop
Travis Scott,The Plan,hiphop
Bradley Cooper,Maybe It's Time,country
Maroon 5,Nobody's Love,pop
Taylor Swift,Delicate,pop
Daniel Caesar Featuring Kali Uchis,Get You,hiphop
Post Malone Featuring Nicki Minaj,Ball For Me,hiphop
R City Featuring Adam Levine,Locked Away,pop
BrockHampton,SUGAR,hiphop
Polo G & Lil Wayne,Gang Gang,hiphop
Demi Lovato Featuring Ariana Grande,Met Him Last Night,pop
Bryson Tiller,Don't,hiphop
NF,Time,hiphop
Silk Sonic (Bruno Mars & Anderson .Paak),Leave the Door Open,pop
Billie Eilish,NDA,pop
Eric Church,Record Year,country
Kendrick Lamar,Blood,hiphop
Drake Featuring Michael Jackson,Don't Matter To Me,hiphop
twenty one pilots,My Blood,rock
Masked Wolf,Astronaut In The Ocean,hiphop
Dierks Bentley Featuring Elle King,Different For Girls,country
Polo G,GNF (OKOKOK),hiphop
Mac Miller,Hurt Feelings,hiphop
J Balvin & Skrillex,In Da Getto,reggae
Eminem,The Ringer,hiphop
Zara Larsson,Ruin My Life,pop
Jacob Sartorius,Hit Or Miss,pop
Halsey,"I Am Not A Woman, I'm A God",pop
Russell Dickerson,Blue Tacoma,country
Drake Featuring Future & Young Thug,Way 2 Sexy,hiphop
Florida Georgia Line,Confession,country
Fifth Harmony,That's My Girl,pop
Midland,Drinkin' Problem,country
Young T & Bugsey Featuring Headie One,Don't Rush,hiphop
Shawn Mendes & Justin Bieber,Monster,pop
Lauv & Troye Sivan,I'm So Tired,pop
Drake,Is There More,hiphop
Drake,9,hiphop
Lukas Graham,7 Years,pop
The Weeknd,Reminder,hiphop
Dua Lipa,Don't Start Now,pop
Childish Gambino,This Is America,hiphop
Justin Timberlake,Supplies,pop
Drake,Feel No Ways,hiphop
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,hiphop
Ed Sheeran Featuring YEBBA,Best Part Of Me,pop
XXXTENTACION,Jocelyn Flores,hiphop
Logic,Confessions Of A Dangerous Mind,hiphop
Post Malone,A Thousand Bad Times,hiphop
J Cole,,hiphop
DJ Khaled Featuring Lil Wayne & Jeremih,Thankful,hiphop
The Weeknd,After Hours,hiphop
Ariana Grande Featuring The Weeknd,Off The Table,pop
Riley Green,There Was This Girl,country
Jon Bellion,All Time Low,pop
Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,country
Niall Horan,Slow Hands,pop
Fall Out Boy,Irresistible,rock
Lil Peep,Awful Things,hiphop
DJ Khaled Featuring Beyonce & JAY Z,Shining,hiphop
Chloe X Halle,Do It,hiphop
Bad Bunny,La Dificil,hiphop
Kendrick Lamar,Untitled 02 l 06,hiphop
Lil Uzi Vert,444+222,hiphop
Miranda Lambert,Settling Down,country
J Cole & Bas,,hiphop
Dierks Bentley,"Woman, Amen",country
Ariana Grande,Bloodline,pop
Imagine Dragons,Follow You,rock
Flo Rida,My House,hiphop
Parker McCollum,To Be Loved By You,country
The Weeknd,Privilege,r&b
Post Malone,I'm Gonna Be,hiphop
WALK THE MOON,One Foot,pop
Doja Cat,Need To Know,hiphop
Future,Racks Blue,hiphop
BIA Featuring Nicki Minaj,Whole Lotta Money,hiphop
Cardi B,Bickenhead,hiphop
Olivia Rodrigo,Good 4 U,pop
Jake Owen,Homemade,country
A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours,hiphop
Lil Nas X Featuring Megan Thee Stallion,Dolla Sign Slime,hiphop
"Los Legendarios, Wisin & Jhay Cortez",Fiel,reggaeton
Gunna,Outstanding,hiphop
Future Featuring Young Thug,Harlem Shake,hiphop
Dylan Scott,Nobody,country
Maren Morris,GIRL,country
Juice WRLD,Blood On My Jeans,hiphop
Lady Gaga & Ariana Grande,Rain On Me,pop
Kodak Black,No Flockin,hiphop
twenty one pilots,Heathens,rock
Lil Uzi Vert Featuring Young Nudy,Money Spread,hiphop
Drake Featuring Ty Dolla $ign,Get Along Better,hiphop
A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,hiphop
"Belly, The Weeknd & Young Thug",Better Believe,hiphop
Morgan Wallen,7 Summers,country
Drake Featuring 2 Chainz & Young Thug,Sacrifices,hiphop
6ix9ine,Gotti,hiphop
Future,Wifi Lit,hiphop
Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher,hiphop
Lana Del Rey,Doin' Time,pop
Daya,Hide Away,pop
Jake Owen,I Was Jack (You Were Diane),country
Nicki Minaj,Ganja Burns,hiphop
The Kid LAROI,So Done,hiphop
Donny Hathaway,This Christmas,r&b
"Tyler, The Creator",Running Out Of Time,hiphop
Yo Gotti Featuring Nicki Minaj,Rake It Up,hiphop
Lauren Daigle,The Christmas Song,pop
YoungBoy Never Broke Again,Cross Roads,hiphop
Sam Hunt,Hard To Forget,country
The Chainsmokers,Sick Boy,pop
Karol G & Nicki Minaj,Tusa,reggaeton
The Weeknd,Snowchild,r&b
Popp Hunna,Adderall (Corvette Corvette),hiphop
Jose Feliciano,Feliz Navidad,pop
YNW Melly Featuring Lil Uzi Vert,Mind Of Melvin,hiphop
Nessa Barrett,I Hope Ur Miserable Until Ur Dead,pop
"Tyler, The Creator Featuring 42 Dugg",Lemonhead,hiphop
"Tyler, The Creator",A Boy Is A Gun,hiphop
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,hiphop
"Lil Baby, Lil Durk & Travis Scott",Hats Off,hiphop
Imagine Dragons,Natural,rock
Nicki Minaj & Lil Wayne,Changed It,hiphop
Justin Bieber,Ghost,pop
Pop Smoke,Bad Bitch From Tokyo (Intro),hiphop
Jonas Brothers,Sucker,pop
Cole Swindell,Middle Of A Memory,country
Shakira,Try Everything,pop
Kendrick Lamar,Yah,hiphop
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),country
Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,hiphop
"Labrinth, Sia & Diplo Present",,pop
Eminem Featuring Juice WRLD,Godzilla,hiphop
Juice WRLD,Bad Energy,hiphop
The Carters,Summer,hiphop
6LACK Featuring Lil Baby,Know My Rights,hiphop
Luke Bryan,What Makes You Country,country
Future,Fly S,hiphop
Hannah Huston,Every Breath You Take,pop
Bryce Vine,Drew Barrymore,hiphop
Kanye West,Jail Pt 2,hiphop
Eminem Featuring Young M,A,hiphop
Blake Shelton,A Guy With A Girl,country
KIDS SEE GHOSTS,Cudi Montage,hiphop
Anuel AA & Romeo Santos,Ella Quiere Beber,hiphop
Drake,Landed,hiphop
J,"Cole, Bas & 6LACK",hiphop
Meek Mill,Heavy Heart,hiphop
Drake,The Motion,hiphop
Katy Perry Featuring Nicki Minaj,Swish Swish,pop
Lil Uzi Vert,That's A Rack,hiphop
2 Chainz x Gucci Mane x Quavo,Good Drank,hiphop
Lil Pump Featuring Lil Wayne,Be Like Me,hiphop
Kendrick Lamar & Travis Scott,Big Shot,hiphop
Kanye West,I Thought About Killing You,hiphop
Kendrick Lamar,God,hiphop
Lil Baby,Global,hiphop
Polo G,Epidemic,hiphop
Giveon,Heartbreak Anniversary,pop
DaBaby,TALK ABOUT IT,hiphop
Young Thug,Light It Up,hiphop
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,hiphop
Jason Aldean,Girl Like You,country
6ix9ine,Kooda,hiphop
Pop Smoke,More Time,hiphop
Rascal Flatts,I Like The Sound Of That,country
Tory Lanez,Money Over Fallouts,hiphop
J,Cole,hiphop
Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,hiphop
Gwen Stefani,Used To Love You,pop
Rod Wave,I Remember,hiphop
Migos,Avalanche,hiphop
Doja Cat Featuring Gucci Mane,Like That,hiphop
Lil Uzi Vert,Lo Mein,hiphop
Lil Baby Featuring Future,Out The Mud,hiphop
Wale,My PYT,hiphop
Dustin Lynch,Momma's House,country
Drake,Trust Issues,hiphop
Lil Uzi Vert,Bigger Than Life,hiphop
DJ Khaled Featuring Justin Bieber & 21 Savage,Let It Go,hiphop
Lil Uzi Vert,No Sleep Leak,hiphop
Roddy Ricch,The Box,hiphop
DaniLeigh Featuring Chris Brown,Easy,hiphop
THE ANXIETY,WILLOW & Tyler Cole,pop
Lil Yachty Featuring Trippie Redd,66,hiphop
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,pop
Travis Denning,After A Few,country
Taylor Swift,Cruel Summer,pop
"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",I Did It,hiphop
Ariana Grande,God Is A Woman,pop
Tenille Arts,Somebody Like That,country
Britney Spears Featuring Tinashe,Slumber Party,pop
Maren Morris,The Bones,country
Megan Thee Stallion,Captain Hook,hiphop
YoungBoy Never Broke Again,Long RD,hiphop
TakeOff,Last Memory,hiphop
Gunna,MOTW,hiphop
O,T,
Chloe Kohanski,Total Eclipse Of The Heart,rock
DMX,Ruff Ryders' Anthem,hiphop
Wizkid Featuring Justin Bieber & Tems,Essence,hiphop
Halsey,Bad At Love,pop
Kodak Black Featuring XXXTENTACION,Roll In Peace,hiphop
Lil Tecca,Did It Again,hiphop
Taylor Swift Featuring Bon Iver,Evermore,pop
Wale Featuring Lil Wayne,Running Back,hiphop
Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,hiphop
BENEE Featuring Gus Dapperton,Supalonely,pop
Nicki Minaj & Skillibeng,Crocodile Teeth,hiphop
6ix9ine,Billy,hiphop
Khalid,My Bad,pop
Lil Wayne,Mess,hiphop
Nipsey Hussle Featuring Kendrick Lamar,Dedication,hiphop
Mike Posner,I Took A Pill In Ibiza,pop
Avicii Featuring Aloe Blacc,SOS,pop
DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,hiphop
Old Dominion,Written In The Sand,country
BTS Featuring Halsey,Boy With Luv,pop
21 Savage & Metro Boomin,Runnin,hiphop
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",Subeme La Radio,pop
Future Featuring YG,Extra Luv,hiphop
Lil Skies,Lust,hiphop
Harry Styles,She,pop
Megan Thee Stallion,Circles,hiphop
Kanye West Featuring Clipse & Kenny G,Use This Gospel,hiphop
Halsey,Not Afraid Anymore,pop
"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,hiphop
6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,hiphop
DJ Khaled Featuring Drake,To The Max,hiphop
Keith Urban Featuring Carrie Underwood,The Fighter,country
Taylor Swift,It's Nice To Have A Friend,pop
Kanye West,Violent Crimes,hiphop
Drake,Jaded,hiphop
Drake Featuring JAY-Z,Love All,hiphop
Drake,Signs,hiphop
Justin Bieber,Hold On,pop
