Artist,Song
G-Eazy Featuring Chris Brown & Mark Morrison,Provide
21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats
Kehlani Featuring Tory Lanez,Can I
Prince And The Revolution,I Would Die 4 U
Lil Baby & Gunna,Drip Too Hard
Travis Scott,R
Myke Towers & Juhn,Bandido
Kenny Chesney Featuring P!nk,Setting The World On Fire
The Revivalists,Wish I Knew You
Pop Smoke Featuring Quavo,Aim For The Moon
Carrie Underwood,Smoke Break
P!nk,Just Like Fire
Offset Featuring Travis Scott & 21 Savage,Legacy
Lil Uzi Vert,You Better Move
Mustard & Migos,Pure Water
"Tyler, The Creator",EARFQUAKE
Avicii,Heaven
"China Anne McClain, Thomas Doherty & Dylan Playfair",What's My Name
Meek Mill,On My Soul
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago
Kanye West,Jesus Lord
VEDO,You Got It
A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips
Thomas Rhett,Country Again
Ariana Grande,Obvious
Chase Rice,Lonely If You Are
Brett Young,Sleep Without You
Lil Wayne,Perfect Strangers
The Kid LAROI Featuring Machine Gun Kelly,F
Big Sean Featuring Eminem,No Favors
Rod Wave,Sneaky Links
Eminem Featuring Joyner Lucas,Lucky You
Billie Eilish,Ocean Eyes
Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss
Jordan Smith,Mary Did You Know
The Weeknd,Acquainted
Bobby Helms,Jingle Bell Rock
Drake,TSU
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
6ix9ine Featuring Tory Lanez & Young Thug,RONDO
Lisa,Lalisa
Zac Efron & Zendaya,Rewrite The Stars
Kanye West,No Mistakes
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla
TakeOff,Casper
Carrie Underwood Featuring Ludacris,The Champion
Ellie Goulding & Juice WRLD,Hate Me
Selena Gomez With Rauw Alejandro,Baila Conmigo
YoungBoy Never Broke Again,Time I'm On
Justin Moore,The Ones That Didn't Make It Back Home
Post Malone,Jonestown (Interlude)
Brett Young,Like I Loved You
Kelly Clarkson & Brett Eldredge,Under The Mistletoe
Lil Baby Featuring EST Gee,Real As It Gets
Lil Uzi Vert,Chrome Heart Tags
Swae Lee Featuring Slim Jxmmi,Guatemala
Solange Featuring Sampha,Don't Touch My Hair
Playboi Carti,@ MEH
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting
Lee Brice,Rumor
Summer Walker & Usher,Come Thru
The Weeknd,Faith
Sheck Wes,Mo Bamba
Post Malone,White Iverson
Flo Rida & 99 Percent,Cake
Juice WRLD,Conversations
Bryce Vine Featuring YG,La La Land
Lady Gaga,The Cure
Sam Smith,To Die For
Brett Eldredge,Love Someone
Lewis Capaldi,Someone You Loved
Tim McGraw,I Called Mama
Ed Sheeran,New Man
Taylor Swift,London Boy
The Weeknd,Alone Again
"Tyler, The Creator",Igor's Theme
Olivia Rodrigo,Hope Ur OK
Meek Mill,Almost Slipped
Wiz Khalifa Featuring Lil Skies,Fr Fr
A Boogie Wit da Hoodie,Cinderella Story
Lil Durk,Redman
Lil Uzi Vert,Money Longer
Lil Baby & Lil Durk,That's Facts
Panic! At The Disco,High Hopes
Taylor Swift,Mad Woman
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
Lil Uzi Vert,For Real
Bing Crosby,White Christmas
Lil Durk,Viral Moment
Parker McCollum,Pretty Heart
Lil Uzi Vert & 21 Savage,Yessirskiii
Future,31 Days
Moneybagg Yo Featuring BIG30,Go!
Big Sean,Bounce Back
Kacey Musgraves,Rainbow
Zac Brown Band,Beautiful Drug
Jackson 5,Santa Claus Is Comin' To Town
Summer Walker,Playing Games
Lil Tecca,Love Me
Polo G,Beautiful Pain (Losin My Mind)
JAY-Z Featuring Frank Ocean,Caught Their Eyes
Bad Bunny,Haciendo Que Me Amas
DaBaby,Red Light Green Light
Future,Touch The Sky
Megan Thee Stallion,B
EST Gee,Lick Back
BTS,Film Out
JACKBOYS Featuring Don Toliver,WHAT TO DO
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",Heatstroke
Bad Bunny,El Mundo Es Mio
Cam,Burning House
Kanye West Featuring Sunday Service Choir,Every Hour
YoungBoy Never Broke Again,Life Support
Lil Baby & Gunna,Belly
Taylor Swift,The Man
Frenship & Emily Warren,Capsize
Machine Gun Kelly & Halsey,Forget Me Too
Summer Walker,Over It
"Lil Tjay, Fivio Foreign & Kay Flock",Not In The Mood
The Weeknd,Nothing Without You
Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin
DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
Drake Featuring Rihanna,Too Good
Lil Uzi Vert Featuring Lil Durk,No Auto
Lil Baby & Lil Durk,Who I Want
Drake,Finesse
The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love
Bad Bunny,La Droga
Lil Dicky,Earth
Travis Scott,The Plan
Bradley Cooper,Maybe It's Time
Maroon 5,Nobody's Love
Taylor Swift,Delicate
Daniel Caesar Featuring Kali Uchis,Get You
Post Malone Featuring Nicki Minaj,Ball For Me
R, City Featuring Adam Levine
BrockHampton,SUGAR
Polo G & Lil Wayne,Gang Gang
Demi Lovato Featuring Ariana Grande,Met Him Last Night
Bryson Tiller,Don't
NF,Time
Silk Sonic (Bruno Mars & Anderson ,Paak)
Billie Eilish,NDA
Eric Church,Record Year
Kendrick Lamar,Blood
Drake Featuring Michael Jackson,Don't Matter To Me
twenty one pilots,My Blood
Masked Wolf,Astronaut In The Ocean
Dierks Bentley Featuring Elle King,Different For Girls
Polo G,GNF (OKOKOK)
Mac Miller,Hurt Feelings
J Balvin & Skrillex,In Da Getto
Eminem,The Ringer
Zara Larsson,Ruin My Life
Jacob Sartorius,Hit Or Miss
Halsey,"I Am Not A Woman, I'm A God"
Russell Dickerson,Blue Tacoma
Drake Featuring Future & Young Thug,Way 2 Sexy
Florida Georgia Line,Confession
Fifth Harmony,That's My Girl
Midland,Drinkin' Problem
Young T & Bugsey Featuring Headie One,Don't Rush
Shawn Mendes & Justin Bieber,Monster
Lauv & Troye Sivan,I'm So Tired
Drake,Is There More
Drake,9
Lukas Graham,7 Years
The Weeknd,Reminder
Dua Lipa,Don't Start Now
Childish Gambino,This Is America
Justin Timberlake,Supplies
Drake,Feel No Ways
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA
Ed Sheeran Featuring YEBBA,Best Part Of Me
XXXTENTACION,Jocelyn Flores
Logic,Confessions Of A Dangerous Mind
Post Malone,A Thousand Bad Times
J, Cole
DJ Khaled Featuring Lil Wayne & Jeremih,Thankful
The Weeknd,After Hours
Ariana Grande Featuring The Weeknd,Off The Table
Riley Green,There Was This Girl
Jon Bellion,All Time Low
Thomas Rhett Featuring Jon Pardi,Beer Can't Fix
Niall Horan,Slow Hands
Fall Out Boy,Irresistible
Lil Peep,Awful Things
DJ Khaled Featuring Beyonce & JAY Z,Shining
Chloe X Halle,Do It
Bad Bunny,La Dificil
Kendrick Lamar,Untitled 02 l 06
Lil Uzi Vert,444+222
Miranda Lambert,Settling Down
J, Cole & Bas
Dierks Bentley,"Woman, Amen"
Ariana Grande,Bloodline
Imagine Dragons,Follow You
Flo Rida,My House
Parker McCollum,To Be Loved By You
The Weeknd,Privilege
Post Malone,I'm Gonna Be
WALK THE MOON,One Foot
Doja Cat,Need To Know
Future,Racks Blue
BIA Featuring Nicki Minaj,Whole Lotta Money
Cardi B,Bickenhead
Olivia Rodrigo,Good 4 U
Jake Owen,Homemade
A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours
Lil Nas X Featuring Megan Thee Stallion,Dolla Sign Slime
"Los Legendarios, Wisin & Jhay Cortez",Fiel
Gunna,Outstanding
Future Featuring Young Thug,Harlem Shake
Dylan Scott,Nobody
Maren Morris,GIRL
Juice WRLD,Blood On My Jeans
Lady Gaga & Ariana Grande,Rain On Me
Kodak Black,No Flockin
twenty one pilots,Heathens
Lil Uzi Vert Featuring Young Nudy,Money Spread
Drake Featuring Ty Dolla $ign,Get Along Better
A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless
"Belly, The Weeknd & Young Thug",Better Believe
Morgan Wallen,7 Summers
Drake Featuring 2 Chainz & Young Thug,Sacrifices
6ix9ine,Gotti
Future,Wifi Lit
Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher
Lana Del Rey,Doin' Time
Daya,Hide Away
Jake Owen,I Was Jack (You Were Diane)
Nicki Minaj,Ganja Burns
The Kid LAROI,So Done
Donny Hathaway,This Christmas
"Tyler, The Creator",Running Out Of Time
Yo Gotti Featuring Nicki Minaj,Rake It Up
Lauren Daigle,The Christmas Song
YoungBoy Never Broke Again,Cross Roads
Sam Hunt,Hard To Forget
The Chainsmokers,Sick Boy
Karol G & Nicki Minaj,Tusa
The Weeknd,Snowchild
Popp Hunna,Adderall (Corvette Corvette)
Jose Feliciano,Feliz Navidad
YNW Melly Featuring Lil Uzi Vert,Mind Of Melvin
Nessa Barrett,I Hope Ur Miserable Until Ur Dead
"Tyler, The Creator Featuring 42 Dugg",Lemonhead
"Tyler, The Creator",A Boy Is A Gun
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes
"Lil Baby, Lil Durk & Travis Scott",Hats Off
Imagine Dragons,Natural
Nicki Minaj & Lil Wayne,Changed It
Justin Bieber,Ghost
Pop Smoke,Bad Bitch From Tokyo (Intro)
Jonas Brothers,Sucker
Cole Swindell,Middle Of A Memory
Shakira,Try Everything
Kendrick Lamar,Yah
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo
"Labrinth, Sia & Diplo Present",
Eminem Featuring Juice WRLD,Godzilla
Juice WRLD,Bad Energy
The Carters,Summer
6LACK Featuring Lil Baby,Know My Rights
Luke Bryan,What Makes You Country
Future,Fly S
Hannah Huston,Every Breath You Take
Bryce Vine,Drew Barrymore
Kanye West,Jail Pt 2
Eminem Featuring Young M,A
Blake Shelton,A Guy With A Girl
KIDS SEE GHOSTS,Cudi Montage
Anuel AA & Romeo Santos,Ella Quiere Beber
Drake,Landed
J," Cole, Bas & 6LACK"
Meek Mill,Heavy Heart
Drake,The Motion
Katy Perry Featuring Nicki Minaj,Swish Swish
Lil Uzi Vert,That's A Rack
2 Chainz x Gucci Mane x Quavo,Good Drank
Lil Pump Featuring Lil Wayne,Be Like Me
Kendrick Lamar & Travis Scott,Big Shot
Kanye West,I Thought About Killing You
Kendrick Lamar,God
Lil Baby,Global
Polo G,Epidemic
Giveon,Heartbreak Anniversary
DaBaby,TALK ABOUT IT
Young Thug,Light It Up
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind
Jason Aldean,Girl Like You
6ix9ine,Kooda
Pop Smoke,More Time
Rascal Flatts,I Like The Sound Of That
Tory Lanez,Money Over Fallouts
J, Cole
Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta
Gwen Stefani,Used To Love You
Rod Wave,I Remember
Migos,Avalanche
Doja Cat Featuring Gucci Mane,Like That
Lil Uzi Vert,Lo Mein
Lil Baby Featuring Future,Out The Mud
Wale,My PYT
Dustin Lynch,Momma's House
Drake,Trust Issues
Lil Uzi Vert,Bigger Than Life
DJ Khaled Featuring Justin Bieber & 21 Savage,Let It Go
Lil Uzi Vert,No Sleep Leak
Roddy Ricch,The Box
DaniLeigh Featuring Chris Brown,Easy
THE ANXIETY, WILLOW & Tyler Cole
Lil Yachty Featuring Trippie Redd,66
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita
Travis Denning,After A Few
Taylor Swift,Cruel Summer
"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",I Did It
Ariana Grande,God Is A Woman
Tenille Arts,Somebody Like That
Britney Spears Featuring Tinashe,Slumber Party
Maren Morris,The Bones
Megan Thee Stallion,Captain Hook
YoungBoy Never Broke Again,Long RD
TakeOff,Last Memory
Gunna,MOTW
O,T
Chloe Kohanski,Total Eclipse Of The Heart
DMX,Ruff Ryders' Anthem
Wizkid Featuring Justin Bieber & Tems,Essence
Halsey,Bad At Love
Kodak Black Featuring XXXTENTACION,Roll In Peace
Lil Tecca,Did It Again
Taylor Swift Featuring Bon Iver,Evermore
Wale Featuring Lil Wayne,Running Back
Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
BENEE Featuring Gus Dapperton,Supalonely
Nicki Minaj & Skillibeng,Crocodile Teeth
6ix9ine,Billy
Khalid,My Bad
Lil Wayne,Mess
Nipsey Hussle Featuring Kendrick Lamar,Dedication
Mike Posner,I Took A Pill In Ibiza
Avicii Featuring Aloe Blacc,SOS
DJ Khaled Featuring Nipsey Hussle & John Legend,Higher
Old Dominion,Written In The Sand
BTS Featuring Halsey,Boy With Luv
21 Savage & Metro Boomin,Runnin
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",Subeme La Radio
Future Featuring YG,Extra Luv
Lil Skies,Lust
Harry Styles,She
Megan Thee Stallion,Circles
Kanye West Featuring Clipse & Kenny G,Use This Gospel
Halsey,Not Afraid Anymore
"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again
6ix9ine Featuring A Boogie Wit da Hoodie,WAKA
DJ Khaled Featuring Drake,To The Max
Keith Urban Featuring Carrie Underwood,The Fighter
Taylor Swift,It's Nice To Have A Friend
Kanye West,Violent Crimes
Drake,Jaded
Drake Featuring JAY-Z,Love All
Drake,Signs
Justin Bieber,Hold On
Drake Featuring Giggs,KMT
Joji,Slow Dancing In The Dark
21 Savage & Metro Boomin,Glock In My Lap
YK Osiris,Worth It
Migos Featuring Drake,Having Our Way
Taylor Swift,Mr
Lil Baby & Lil Durk,If You Want To
Juice WRLD,Wishing Well
Jonas Blue Featuring Dakota,Fast Car
Kanye West Featuring Ty Dolla $ign & Ant Clemons,Everything We Need
OneRepublic,Wherever I Go
H,E
Camila Cabello,Crying In The Club
Travis Scott & HVME,Goosebumps
Young Greatness,Moolah
Morgan Wallen,Somebody's Problem
Bryson Gray Featuring Tyson James & Chandler Crump,Let's Go Brandon
Billie Eilish,When The Party's Over
Calvin Harris,My Way
Brantley Gilbert,Hard Days
Chris Stapleton,Millionaire
Logic,BoomTrap Protocol
Megan Thee Stallion Featuring City Girls & Hot Girl Meg,Do It On The Tip
Sia,Alive
Red Hot Chili Peppers,Dark Necessities
Playboi Carti,New N3on
Lil Xan,Betrayed
"Tyler, The Creator",What's Good
The Weeknd,Secrets
Young Thug & Gunna Featuring Drake,Solid
"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",On Everything
Martin Garrix Featuring Macklemore & Patrick Stump,Summer Days
KIDS SEE GHOSTS,Feel The Love
Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H
Lil Wayne,Uproar
twenty one pilots,Jumpsuit
NEIKED X Mae Muller X Polo G,Better Days
Maroon 5 Featuring Cardi B,Girls Like You
Cardi B,Be Careful
Ed Sheeran,What Do I Know
Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
Kendrick Lamar & SZA,All The Stars
Flume Featuring Tove Lo,Say It
G-Eazy Featuring blackbear,Hate The Way
Lil Nas X,Montero (Call Me By Your Name)
Chance The Rapper Featuring Death Cab For Cutie,Do You Remember
The Weeknd,Too Late
Trippie Redd & Playboi Carti,Miss The Rage
"Young Thug, J", Cole & Travis Scott
Cardi B Featuring SZA,I Do
French Montana Featuring Drake,No Stylist
Post Malone Featuring Quavo,Congratulations
Drake Featuring Rick Ross,Lemon Pepper Freestyle
"Lil Durk, 6LACK & Young Thug",Stay Down
Lil Uzi Vert,Come This Way
Polo G,Rapstar
"Tyler, The Creator Featuring Domo Genesis",Manifesto
Kodak Black,"If I'm Lyin, I'm Flyin"
Kanye West Featuring Travis Scott,Wash Us In The Blood
Lil Wayne,Let It All Work Out
Kanye West Featuring Fred Hammond,Hands On
Cole Swindell,Single Saturday Night
Childish Gambino,Redbone
Lil Tecca,Shots
Taylor Swift,Out Of The Woods
DaBaby,Ball If I Want To
Eminem,Marsh
6ix9ine Featuring DJ SPINKING,TATI
Carly Pearce,Next Girl
Meek Mill,Otherside Of America
James Arthur,Say You Won't Let Go
Kanye West,Believe What I Say
Nicki Minaj Featuring Lil Wayne,Rich Sex
Taylor Swift,
Bad Bunny,Yonaguni
Rod Wave,The Greatest
Lil Tecca & Gunna,Repeat It
Meek Mill Featuring A$AP Ferg,Me (FWM)
Lil Uzi Vert Featuring Chief Keef,Bean (Kobe)
Lady Gaga,Perfect Illusion
Calvin Harris Featuring Rihanna,This Is What You Came For
Cochise & $NOT,Tell Em
Lil Baby & 42 Dugg,We Paid
Taylor Swift,Hoax
Shawn Mendes,There's Nothing Holdin' Me Back
Lady Antebellum,You Look Good
J, Cole
Meek Mill Featuring Tory Lanez,Litty
LOCASH,One Big Country Song
Gunna,Wunna
Taylor Swift,Gold Rush
Future & Young Thug,No Cap
Ellie Goulding,Something In The Way You Move
Travis Scott Featuring Young Thug & M,I
Lil Baby,Woah
Cardi B,Get Up 10
Future & Lil Uzi Vert,Sleeping On The Floor
Polo G Featuring Juice WRLD,Flex
Luke Combs,The Other Guy
"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel (Charlie's Angels)
6ix9ine & Nicki Minaj,Trollz
Kanye West,Ok Ok
Trippie Redd,Under Enemy Arms
Migos Featuring Post Malone,Notice Me
"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",T
DNCE,Toothbrush
TWICE,The Feels
Katy Perry Featuring Migos,Bon Appetit
Kanye West,Fade
Carrie Underwood,Dirty Laundry
DMX,X Gon' Give It To Ya
Lil Nas X,Sun Goes Down
Duncan Laurence,Arcade
Don Toliver,No Idea
YoungBoy Never Broke Again,Drug Addiction
Meek Mill,Wins & Losses
Kid Cudi,Mr
Shawn Mendes Featuring Khalid,Youth
Childish Gambino,Summertime Magic
Kiiara,Gold
Zayn,Let Me
Kanye West,Jonah
Rag'n'Bone Man,Human
"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!
Migos Featuring Gucci Mane,CC
Lisa,Money
Zac Brown Band,The Man Who Loves You The Most
Ava Max,Sweet But Psycho
Travis Scott,Stop Trying To Be God
Thurl Ravenscroft,"You're A Mean One, Mr"
21 Savage,Immortal
Moneybagg Yo,Me Vs Me
NLE Choppa,Shotta Flow
David Bowie,Blackstar
Luke Combs,Must've Never Met You
